Annotation,Metric,n,AvgValue,StdDev,MinValue,MaxValue,NumRuns,Kernel,GPU,Host,ComputeClock,MemoryClock,Unit,CI95_Lower,CI95_Upper,RelativeStdDevPct,StableMeasurement,Normalized,Geomean
vecadd_cuda_float4,gpu__time_duration.sum,7340032,129542.4,357.34129344367835,129184.0,130112.0,5,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,129229.17654606335,129855.62345393664,0.27584890618336416,True,False,126423.3569229008
vecadd_cuda_float4,gpu__time_duration.sum,8388608,147820.8,214.18496679272215,147552.0,148064.0,5,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,147633.05859896122,148008.54140103876,0.14489501260493934,True,False,126423.3569229008
vecadd_cuda_float4,gpu__time_duration.sum,9437184,166496.0,559.3138653743516,165728.0,167296.0,5,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,166005.7397810958,166986.2602189042,0.335932313914059,True,False,126423.3569229008
vecadd_cuda_float4,gpu__time_duration.sum,10485760,184748.8,356.7677115435208,184320.0,185216.0,5,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,184436.07931276615,185061.52068723383,0.19310962319837577,True,False,126423.3569229008
vecadd_cuda_float4,gpu__time_duration.sum,11534336,202924.8,216.5622312408173,202688.0,203264.0,5,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,202734.9748347979,203114.62516520207,0.10672043596485856,True,False,126423.3569229008
vecadd_cuda_float4,gpu__time_duration.sum,12582912,221766.4,753.6662391271085,220608.0,222624.0,5,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,221105.78241433034,222427.01758566964,0.3398469015717027,True,False,126423.3569229008
vecadd_cuda_float4,gpu__time_duration.sum,13631488,239910.4,794.3480345541203,239072.0,240736.0,5,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,239214.1232484019,240606.67675159808,0.3311019591289583,True,False,126423.3569229008
vecadd_cuda_float4,gpu__time_duration.sum,14680064,257836.8,530.9493384495381,257184.0,258432.0,5,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,257371.40238515436,258302.19761484562,0.20592457649549564,True,False,126423.3569229008
vecadd_cuda_float4,gpu__time_duration.sum,15728640,275750.4,505.15423387317657,275232.0,276576.0,5,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,275307.6127912236,276193.1872087764,0.18319256612979584,True,False,126423.3569229008
vecadd_cuda_float4,gpu__time_duration.sum,16777216,294336.0,435.8348311000398,293888.0,295040.0,5,vec_add_float4,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,293953.9739267537,294718.0260732463,0.14807391250137253,True,False,126423.3569229008
