Annotation,Value,Metric,Kernel,GPU,Host,ComputeClock,MemoryClock,Unit,n
vecadd_cuda,112416.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,6291456
vecadd_cuda,111680.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,6291456
vecadd_cuda,111808.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,6291456
vecadd_cuda,112832.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,6291456
vecadd_cuda,129984.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,7340032
vecadd_cuda,129664.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,7340032
vecadd_cuda,129568.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,7340032
vecadd_cuda,129664.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,7340032
vecadd_cuda,130048.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,7340032
vecadd_cuda,149120.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,8388608
vecadd_cuda,147520.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,8388608
vecadd_cuda,148800.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,8388608
vecadd_cuda,148224.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,8388608
vecadd_cuda,148448.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,8388608
vecadd_cuda,166688.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,9437184
vecadd_cuda,166848.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,9437184
vecadd_cuda,166144.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,9437184
vecadd_cuda,167392.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,9437184
vecadd_cuda,167232.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,9437184
vecadd_cuda,185216.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,10485760
vecadd_cuda,184736.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,10485760
vecadd_cuda,184512.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,10485760
vecadd_cuda,185888.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,10485760
vecadd_cuda,184128.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,10485760
vecadd_cuda,203456.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,11534336
vecadd_cuda,204224.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,11534336
vecadd_cuda,204096.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,11534336
vecadd_cuda,203936.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,11534336
vecadd_cuda,204416.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,11534336
vecadd_cuda,222560.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,12582912
vecadd_cuda,222624.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,12582912
vecadd_cuda,222016.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,12582912
vecadd_cuda,222272.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,12582912
vecadd_cuda,221120.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,12582912
vecadd_cuda,240640.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,13631488
vecadd_cuda,240544.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,13631488
vecadd_cuda,241408.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,13631488
vecadd_cuda,243040.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,13631488
vecadd_cuda,239712.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,13631488
vecadd_cuda,258880.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,14680064
vecadd_cuda,258368.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,14680064
vecadd_cuda,257472.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,14680064
vecadd_cuda,258432.0,gpu__time_duration.sum,vec_add,NVIDIA RTX A6000,0042-kci-sma6-prxmx10204,1800000,8001000,ns,14680064
